2008-12-24 13:58:46 Notice: Notice (8): Undefined index:  username in [APP/models/user.php, line 20]
2008-12-26 14:17:23 Notice: Notice (8): Uninitialized string offset:  36 in [APP/vendors/common.php, line 8]
2008-12-26 14:18:53 Notice: Notice (8): Uninitialized string offset:  36 in [APP/vendors/common.php, line 8]
2008-12-26 14:20:31 Notice: Notice (8): Uninitialized string offset:  36 in [APP/vendors/common.php, line 8]
2008-12-26 14:20:33 Notice: Notice (8): Uninitialized string offset:  36 in [APP/vendors/common.php, line 8]
2008-12-26 14:20:55 Notice: Notice (8): Uninitialized string offset:  36 in [APP/vendors/common.php, line 8]
2008-12-26 14:21:12 Notice: Notice (8): Uninitialized string offset:  36 in [APP/vendors/common.php, line 8]
2008-12-26 14:21:15 Notice: Notice (8): Uninitialized string offset:  36 in [APP/vendors/common.php, line 8]
2008-12-26 14:21:18 Notice: Notice (8): Uninitialized string offset:  36 in [APP/vendors/common.php, line 8]
2008-12-26 14:21:22 Notice: Notice (8): Uninitialized string offset:  36 in [APP/vendors/common.php, line 8]
2008-12-26 14:21:48 Notice: Notice (8): Uninitialized string offset:  36 in [APP/vendors/common.php, line 8]
2008-12-26 14:21:50 Notice: Notice (8): Uninitialized string offset:  36 in [APP/vendors/common.php, line 8]
2008-12-26 14:36:35 Notice: Notice (8): Uninitialized string offset:  36 in [APP/vendors/common.php, line 9]
2008-12-26 16:13:57 Notice: Notice (8): Uninitialized string offset:  36 in [APP/vendors/common.php, line 9]
2008-12-26 16:15:44 Notice: Notice (8): Uninitialized string offset:  36 in [APP/vendors/common.php, line 9]
2008-12-26 16:27:09 Notice: Notice (8): Uninitialized string offset:  36 in [APP/vendors/common.php, line 9]
2008-12-26 16:38:32 Notice: Notice (8): Uninitialized string offset:  36 in [APP/vendors/common.php, line 9]
2008-12-26 16:41:13 Notice: Notice (8): Undefined variable: upfile in [APP/controllers/cards_controller.php, line 43]
2008-12-26 16:41:13 Notice: Notice (8): Undefined variable: uploadfile in [APP/controllers/cards_controller.php, line 43]
2008-12-26 16:56:02 Notice: Notice (8): Uninitialized string offset:  36 in [APP/vendors/common.php, line 9]
2008-12-29 12:42:38 Notice: Notice (8): Undefined property: Task::$List in [APP/controllers/tasks_controller.php, line 32]
2008-12-29 16:05:48 Notice: Notice (8): Undefined variable: javascript in [APP/views/layouts/default.ctp, line 16]
2008-12-29 16:05:48 Notice: Notice (8): Undefined variable: javascript in [APP/views/layouts/default.ctp, line 16]
2008-12-29 16:06:10 Notice: Notice (8): Undefined variable: javascript in [APP/views/layouts/default.ctp, line 16]
2008-12-29 16:06:10 Notice: Notice (8): Undefined variable: javascript in [APP/views/layouts/default.ctp, line 16]
2008-12-29 16:33:59 Notice: Notice (8): Undefined variable: javascript in [APP/views/layouts/default.ctp, line 16]
2008-12-29 16:34:41 Notice: Notice (8): Undefined variable: javascript in [APP/views/layouts/default.ctp, line 16]
2008-12-29 16:35:01 Notice: Notice (8): Undefined variable: javascript in [APP/views/layouts/default.ctp, line 16]
2008-12-29 16:37:35 Notice: Notice (8): Undefined variable: javascript in [APP/views/layouts/default.ctp, line 16]
2008-12-29 22:36:49 Notice: Notice (8): Undefined property: TasksController::$RequestHandler in [APP/app_controller.php, line 10]
2008-12-29 22:36:56 Notice: Notice (8): Undefined property: TasksController::$RequestHandler in [APP/app_controller.php, line 10]
2008-12-29 22:37:48 Notice: Notice (8): Object of class TasksController to string conversion in [APP/app_controller.php, line 11]
2008-12-29 22:38:45 Notice: Notice (8): Object of class TasksController to string conversion in [APP/app_controller.php, line 11]
2008-12-29 22:39:27 Notice: Notice (8): Object of class TasksController to string conversion in [APP/app_controller.php, line 11]
2008-12-31 10:37:45 Notice: Notice (8): Undefined variable: col_html in [APP/views/helpers/task.php, line 22]
2008-12-31 10:37:45 Notice: Notice (8): Undefined variable: td_html in [APP/views/helpers/task.php, line 24]
2008-12-31 10:38:07 Notice: Notice (8): Undefined variable: col_html in [APP/views/helpers/task.php, line 18]
2008-12-31 10:38:07 Notice: Notice (8): Undefined variable: td_html in [APP/views/helpers/task.php, line 19]
